clf,year,interval,log_loss,log_skill_score,roc_auc
lren,2023,0,0.10195382811731783,0.297420277888057,0.8841555977229602
lren,2023,90,0.11729376347521012,0.2180151124323399,0.8603560405643741
lren,2023,180,0.13470484552665732,0.12837653987121558,0.847038567493113
lren,2023,360,0.13852386768767871,0.14890491079428037,0.8463722591771372
lren,2024,0,0.11588362109393577,0.39468684584603675,0.9140972222222222
lren,2024,90,0.14248243639495264,0.28447806908915285,0.862444933920705
lren,2024,180,0.16939772850477122,0.17047980497078663,0.8674467275494673
lren,2024,360,0.17180627151444233,0.2019797496654288,0.8801313628899836
svm,2023,0,0.11122443095433003,0.2335351086372926,0.8656599198819313
svm,2023,90,0.1318321582069784,0.12108920066262455,0.8207010582010581
svm,2023,180,0.14715553542402107,0.0478128944663211,0.7117194674012856
svm,2023,360,0.1514491547580063,0.06949153217758948,0.722320768662232
svm,2024,0,0.1246441195378154,0.34892675572314374,0.9127951388888889
svm,2024,90,0.16061931803551086,0.19339781456443841,0.8336270190895743
svm,2024,180,0.2008461642391434,0.01648061753182774,0.7122716894977168
svm,2024,360,0.20107522074791057,0.066028867381375,0.770279146141215
xgb,2023,0,0.1209454615428549,0.1665459715382081,0.8548281678262704
xgb,2023,90,0.1294661971996492,0.13686280786465477,0.8202491181657848
xgb,2023,180,0.13799197758596388,0.10710676736799804,0.8017131542699726
xgb,2023,360,0.1483754151427728,0.0883766870298964,0.7677383592017738
xgb,2024,0,0.14980768761626978,0.21748593069930183,0.8764062499999998
xgb,2024,90,0.16617329069754647,0.16550673308159425,0.8405837004405289
xgb,2024,180,0.17936237874778077,0.12168411753188249,0.8450722983257231
xgb,2024,360,0.1927003618576267,0.1049291178159419,0.8370073891625613
rf,2023,0,0.11265671058360796,0.22366504644829122,0.8450242462576429
rf,2023,90,0.12656182029244412,0.15622597587925155,0.8170469576719578
rf,2023,180,0.1378366806959626,0.10811163406066196,0.7618744260789716
rf,2023,360,0.1491241481016692,0.0837764476987227,0.7519462921901949
rf,2024,0,0.13002789959465677,0.3208048101305375,0.8808333333333334
rf,2024,90,0.16116255844504285,0.1906697560288609,0.8361600587371513
rf,2024,180,0.1752855744628557,0.14164773519887894,0.8054223744292239
rf,2024,360,0.19210688353419672,0.10768575595293743,0.8034277504105092
ann,2023,0,0.11335978710428171,0.21882003654881022,0.8651591819523509
ann,2023,90,0.12062256354817927,0.19582236088552699,0.8628692680776012
ann,2023,180,0.13563589541467058,0.12235207266092477,0.8550792011019283
ann,2023,360,0.14489787716592661,0.10974279197647005,0.8160322739591033
ann,2024,0,0.12241170524474251,0.3605876766053363,0.9156944444444445
ann,2024,90,0.15016139167809067,0.24591569571466412,0.8749265785609399
ann,2024,180,0.17554392175177783,0.14038263976115636,0.8554414003044141
ann,2024,360,0.18501245286826823,0.1406385654522672,0.8506157635467982
