clf,year,interval,log_loss,log_skill_score,roc_auc
lren,2023,0,0.10782603404165525,0.07102797548239023,0.769948864850889
lren,2023,90,0.10762222125694976,0.07278391853374369,0.7701606245272079
lren,2023,180,0.10754199925372407,0.07347506884275554,0.769956800718836
lren,2023,360,0.10744961740204025,0.07427098196846942,0.7690969622265486
lren,2024,0,0.11788361306193038,0.06808544544298005,0.7565451145686632
lren,2024,90,0.11778378226089088,0.06887464568943769,0.7567691499752388
lren,2024,180,0.11777322575280032,0.0689580988792354,0.7566908124277281
lren,2024,360,0.11790043818762656,0.0679524364597017,0.7555955836583884
svm,2023,0,0.10965669603949957,0.05525596088999694,0.739046441467214
svm,2023,90,0.10958744650622118,0.055852578206939854,0.7415282177704562
svm,2023,180,0.10951626488649394,0.05646584135784936,0.7357871037025945
svm,2023,360,0.11053777672511207,0.047665036160625965,0.7259817500636788
svm,2024,0,0.1188530129788223,0.06042197239296967,0.7414913323495401
svm,2024,90,0.12271820602557723,0.029866159223660226,0.6941283014348993
svm,2024,180,0.12004290173704232,0.051015451645200605,0.7243506278854225
svm,2024,360,0.12346289923701873,0.023979077682839578,0.6880910711412209
xgb,2023,0,0.1052085111780535,0.09357916671772652,0.7886385762540912
xgb,2023,90,0.10547209209691215,0.09130829306469275,0.7878696930483077
xgb,2023,180,0.10604847318503614,0.08634249875456013,0.784333086297444
xgb,2023,360,0.10661170664077993,0.08148997748445379,0.7804368311311298
xgb,2024,0,0.11569774123815166,0.0853655890869088,0.7781083977102485
xgb,2024,90,0.11629535466969942,0.0806412288438482,0.7726883874565121
xgb,2024,180,0.11655699599327192,0.07857285520668567,0.7705165163741692
xgb,2024,360,0.11755531844862237,0.07068073854927177,0.7647936342010755
rf,2023,0,0.10500598650128146,0.0953240121130697,0.786727977646452
rf,2023,90,0.10546816268732043,0.09134214677744432,0.7835000761587327
rf,2023,180,0.10558786680085115,0.09031083950848935,0.7827246394619992
rf,2023,360,0.10632208722098571,0.08398518507635973,0.7789485998952977
rf,2024,0,0.1153115030965272,0.08841894770356229,0.7751187225491138
rf,2024,90,0.11590260905669583,0.08374603148341597,0.7718239301249035
rf,2024,180,0.11603955334982738,0.0826634350425877,0.7716702488215064
rf,2024,360,0.1169111279551052,0.07577330808648583,0.7685751672469217
ann,2023,0,0.1062442343734485,0.08465592399422772,0.7704516916838504
ann,2023,90,0.10834736202391851,0.0665364895863804,0.7652830864894409
ann,2023,180,0.10789781633361961,0.07040953725749108,0.7629476885504626
ann,2023,360,0.10871573917762682,0.06336274705464415,0.7551498023072896
ann,2024,0,0.11856697594515078,0.06268320334693409,0.744496350692751
ann,2024,90,0.11853156303324992,0.06296315581159362,0.7459735373768648
ann,2024,180,0.11821965143164163,0.0654289350129931,0.7531192190195581
ann,2024,360,0.11959882673433642,0.05452603252737263,0.7409392272774333
