year,interval,id,k,precision_at_k,recall_at_k
2023,0,Claim Rate,237,0.10717299578059072,0.08063492063492064
2023,0,Top10,10,0.3,0.009523809523809523
2023,0,Top20,20,0.21000000000000002,0.013333333333333332
2023,90,Claim Rate,237,0.10548523206751055,0.07936507936507937
2023,90,Top10,10,0.24,0.00761904761904762
2023,90,Top20,20,0.18,0.01142857142857143
2023,180,Claim Rate,237,0.10464135021097047,0.07873015873015873
2023,180,Top10,10,0.12000000000000002,0.00380952380952381
2023,180,Top20,20,0.11000000000000001,0.006984126984126984
2023,360,Claim Rate,237,0.1021097046413502,0.07682539682539682
2023,360,Top10,10,0.1,0.0031746031746031746
2023,360,Top20,20,0.13,0.008253968253968253
2024,0,Claim Rate,104,0.11153846153846154,0.07682119205298013
2024,0,Top10,10,0.4,0.026490066225165566
2024,0,Top20,20,0.27999999999999997,0.03708609271523179
2024,90,Claim Rate,104,0.11153846153846154,0.07682119205298013
2024,90,Top10,10,0.4,0.026490066225165566
2024,90,Top20,20,0.22000000000000003,0.029139072847682117
2024,180,Claim Rate,104,0.11730769230769231,0.08079470198675497
2024,180,Top10,10,0.27999999999999997,0.018543046357615896
2024,180,Top20,20,0.27,0.03576158940397352
2024,360,Claim Rate,104,0.12692307692307692,0.08741721854304636
2024,360,Top10,10,0.2,0.013245033112582783
2024,360,Top20,20,0.25,0.033112582781456956
