year,interval,id,k,precision_at_k,recall_at_k
2023,0,Top10,10,0.6,0.3333333333333333
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.375,0.5
2023,0,Top10,10,0.6,0.3333333333333333
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.375,0.5
2023,0,Top10,10,0.6,0.3333333333333333
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.375,0.5
2023,0,Top10,10,0.7,0.3888888888888889
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.3333333333333333,0.4444444444444444
2023,0,Top10,10,0.6,0.3333333333333333
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.375,0.5
2023,0,Top10,10,0.6,0.3333333333333333
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.4166666666666667,0.5555555555555556
2023,0,Top10,10,0.8,0.4444444444444444
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.3333333333333333,0.4444444444444444
2023,0,Top10,10,0.6,0.3333333333333333
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.375,0.5
2023,0,Top10,10,0.7,0.3888888888888889
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.3333333333333333,0.4444444444444444
2023,0,Top10,10,0.6,0.3333333333333333
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.375,0.5
2023,0,Top10,10,0.6,0.3333333333333333
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.375,0.5
2023,0,Top10,10,0.6,0.3333333333333333
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.375,0.5
2023,0,Top10,10,0.7,0.3888888888888889
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.4166666666666667,0.5555555555555556
2023,0,Top10,10,0.6,0.3333333333333333
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.3333333333333333,0.4444444444444444
2023,0,Top10,10,0.7,0.3888888888888889
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.3333333333333333,0.4444444444444444
2023,0,Top10,10,0.7,0.3888888888888889
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.3333333333333333,0.4444444444444444
2023,0,Top10,10,0.6,0.3333333333333333
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.3333333333333333,0.4444444444444444
2023,0,Top10,10,0.6,0.3333333333333333
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.375,0.5
2023,0,Top10,10,0.6,0.3333333333333333
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.375,0.5
2023,0,Top10,10,0.8,0.4444444444444444
2023,0,Top20,20,0.4,0.4444444444444444
2023,0,Claim Rate,24,0.3333333333333333,0.4444444444444444
2023,90,Top10,10,0.5,0.2777777777777778
2023,90,Top20,20,0.4,0.4444444444444444
2023,90,Claim Rate,23,0.391304347826087,0.5
2023,90,Top10,10,0.6,0.3333333333333333
2023,90,Top20,20,0.45,0.5
2023,90,Claim Rate,23,0.391304347826087,0.5
2023,90,Top10,10,0.6,0.3333333333333333
2023,90,Top20,20,0.45,0.5
2023,90,Claim Rate,23,0.391304347826087,0.5
2023,90,Top10,10,0.5,0.2777777777777778
2023,90,Top20,20,0.4,0.4444444444444444
2023,90,Claim Rate,23,0.391304347826087,0.5
2023,90,Top10,10,0.6,0.3333333333333333
2023,90,Top20,20,0.45,0.5
2023,90,Claim Rate,23,0.391304347826087,0.5
2023,90,Top10,10,0.5,0.2777777777777778
2023,90,Top20,20,0.4,0.4444444444444444
2023,90,Claim Rate,23,0.391304347826087,0.5
2023,90,Top10,10,0.6,0.3333333333333333
2023,90,Top20,20,0.4,0.4444444444444444
2023,90,Claim Rate,23,0.391304347826087,0.5
2023,90,Top10,10,0.6,0.3333333333333333
2023,90,Top20,20,0.35,0.3888888888888889
2023,90,Claim Rate,23,0.34782608695652173,0.4444444444444444
2023,90,Top10,10,0.5,0.2777777777777778
2023,90,Top20,20,0.4,0.4444444444444444
2023,90,Claim Rate,23,0.391304347826087,0.5
2023,90,Top10,10,0.7,0.3888888888888889
2023,90,Top20,20,0.4,0.4444444444444444
2023,90,Claim Rate,23,0.391304347826087,0.5
2023,90,Top10,10,0.7,0.3888888888888889
2023,90,Top20,20,0.35,0.3888888888888889
2023,90,Claim Rate,23,0.34782608695652173,0.4444444444444444
2023,90,Top10,10,0.6,0.3333333333333333
2023,90,Top20,20,0.45,0.5
2023,90,Claim Rate,23,0.391304347826087,0.5
2023,90,Top10,10,0.5,0.2777777777777778
2023,90,Top20,20,0.4,0.4444444444444444
2023,90,Claim Rate,23,0.391304347826087,0.5
2023,90,Top10,10,0.7,0.3888888888888889
2023,90,Top20,20,0.35,0.3888888888888889
2023,90,Claim Rate,23,0.34782608695652173,0.4444444444444444
2023,90,Top10,10,0.6,0.3333333333333333
2023,90,Top20,20,0.35,0.3888888888888889
2023,90,Claim Rate,23,0.30434782608695654,0.3888888888888889
2023,90,Top10,10,0.6,0.3333333333333333
2023,90,Top20,20,0.45,0.5
2023,90,Claim Rate,23,0.391304347826087,0.5
2023,90,Top10,10,0.6,0.3333333333333333
2023,90,Top20,20,0.45,0.5
2023,90,Claim Rate,23,0.391304347826087,0.5
2023,90,Top10,10,0.6,0.3333333333333333
2023,90,Top20,20,0.45,0.5
2023,90,Claim Rate,23,0.391304347826087,0.5
2023,90,Top10,10,0.6,0.3333333333333333
2023,90,Top20,20,0.45,0.5
2023,90,Claim Rate,23,0.391304347826087,0.5
2023,90,Top10,10,0.7,0.3888888888888889
2023,90,Top20,20,0.4,0.4444444444444444
2023,90,Claim Rate,23,0.391304347826087,0.5
2023,180,Top10,10,0.2,0.1111111111111111
2023,180,Top20,20,0.2,0.2222222222222222
2023,180,Claim Rate,22,0.22727272727272727,0.2777777777777778
2023,180,Top10,10,0.2,0.1111111111111111
2023,180,Top20,20,0.2,0.2222222222222222
2023,180,Claim Rate,22,0.22727272727272727,0.2777777777777778
2023,180,Top10,10,0.2,0.1111111111111111
